marital,age,job,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,60,retired,2,0,100,0,0,3,5,may,528,1,-1,0,3,0
2,59,management,2,0,59,1,0,3,5,may,273,1,-1,0,3,0
1,55,technician,1,0,1205,1,0,3,5,may,158,2,-1,0,3,0
0,35,blue-collar,1,0,12223,1,1,3,5,may,177,1,-1,0,3,0
1,57,blue-collar,1,0,5935,1,1,3,5,may,258,1,-1,0,3,0
1,31,services,1,0,25,1,1,3,5,may,172,1,-1,0,3,0
1,54,management,1,0,282,1,1,3,5,may,154,1,-1,0,3,0
1,55,blue-collar,0,0,23,1,0,3,5,may,291,1,-1,0,3,0
1,43,technician,1,0,1937,1,0,3,5,may,181,1,-1,0,3,0
1,53,technician,1,0,384,1,0,3,5,may,176,1,-1,0,3,0
1,44,blue-collar,1,0,582,0,1,3,5,may,211,1,-1,0,3,0
2,55,services,1,0,91,0,0,3,5,may,349,1,-1,0,3,0
2,49,services,1,0,0,1,1,3,5,may,272,1,-1,0,3,0
2,55,services,1,1,1,1,0,3,5,may,208,1,-1,0,3,0
0,45,admin.,1,0,206,1,0,3,5,may,193,1,-1,0,3,0
2,47,services,1,0,164,0,0,3,5,may,212,1,-1,0,3,0
0,42,technician,1,0,690,1,0,3,5,may,20,1,-1,0,3,0
1,59,admin.,1,0,2343,1,0,3,5,may,1042,1,-1,0,3,1
1,46,self-employed,2,0,137,1,1,3,5,may,246,1,-1,0,3,0
1,51,blue-collar,0,0,173,1,0,3,5,may,529,2,-1,0,3,0
1,56,admin.,1,0,45,0,0,3,5,may,1467,1,-1,0,3,1
1,41,technician,1,0,1270,1,0,3,5,may,1389,1,-1,0,3,1
2,46,management,1,0,16,1,1,3,5,may,188,2,-1,0,3,0
1,57,retired,1,0,486,1,0,3,5,may,180,2,-1,0,3,0
0,42,management,1,0,50,0,0,3,5,may,48,1,-1,0,3,0
1,30,technician,1,0,152,1,1,3,5,may,213,2,-1,0,3,0
1,60,admin.,1,0,290,1,0,3,5,may,583,1,-1,0,3,0
1,60,blue-collar,3,0,54,1,0,3,5,may,221,1,-1,0,3,0
2,57,entrepreneur,1,0,-37,0,0,3,5,may,173,1,-1,0,3,0
1,36,management,2,0,101,1,1,3,5,may,426,1,-1,0,3,0
1,55,blue-collar,1,0,383,0,0,3,5,may,287,1,-1,0,3,0
1,60,retired,2,0,81,1,0,3,5,may,101,1,-1,0,3,0
1,39,technician,1,0,0,1,0,3,5,may,203,1,-1,0,3,0
1,46,management,2,0,229,1,0,3,5,may,197,1,-1,0,3,0
1,44,blue-collar,1,0,-674,1,0,3,5,may,257,1,-1,0,3,0
1,53,blue-collar,0,0,90,0,0,3,5,may,124,1,-1,0,3,0
1,52,blue-collar,0,0,128,1,0,3,5,may,229,1,-1,0,3,0
1,59,blue-collar,0,0,179,1,0,3,5,may,55,3,-1,0,3,0
0,27,technician,2,0,0,1,0,3,5,may,400,1,-1,0,3,0
1,44,blue-collar,1,0,54,1,0,3,5,may,197,1,-1,0,3,0
1,47,technician,2,0,151,1,0,3,5,may,190,1,-1,0,3,0
1,34,admin.,1,0,61,0,1,3,5,may,21,1,-1,0,3,0
0,59,retired,1,0,30,1,0,3,5,may,514,1,-1,0,3,0
1,45,management,2,0,523,1,0,3,5,may,849,2,-1,0,3,0
2,29,services,1,0,31,1,0,3,5,may,194,1,-1,0,3,0
2,46,technician,1,0,79,0,0,3,5,may,144,1,-1,0,3,0
1,56,self-employed,0,0,-34,1,1,3,5,may,212,2,-1,0,3,0
1,36,blue-collar,0,0,448,1,0,3,5,may,286,1,-1,0,3,0
2,59,retired,0,0,81,1,0,3,5,may,107,1,-1,0,3,0
1,44,blue-collar,1,0,144,1,0,3,5,may,247,2,-1,0,3,0
1,41,admin.,1,0,351,1,0,3,5,may,518,1,-1,0,3,0
0,33,management,2,0,-67,1,0,3,5,may,364,1,-1,0,3,0
2,59,management,2,0,262,0,0,3,5,may,178,1,-1,0,3,0
1,57,technician,0,0,0,0,0,3,5,may,98,1,-1,0,3,0
2,56,technician,3,0,56,1,0,3,5,may,439,1,-1,0,3,0
1,51,blue-collar,1,0,26,1,0,3,5,may,79,1,-1,0,3,0
1,34,admin.,3,0,3,1,0,3,5,may,120,3,-1,0,3,0
1,43,services,1,0,41,1,1,3,5,may,127,2,-1,0,3,0
1,52,technician,2,0,7,0,1,3,5,may,175,1,-1,0,3,0
0,33,technician,1,0,105,1,0,3,5,may,262,2,-1,0,3,0
0,29,admin.,1,0,818,1,1,3,5,may,61,1,-1,0,3,0
1,34,services,1,0,-16,1,1,3,5,may,78,1,-1,0,3,0
1,31,blue-collar,1,0,0,1,0,3,5,may,143,1,-1,0,3,0
1,55,services,1,0,2476,1,0,3,5,may,579,1,-1,0,3,1
1,55,management,3,0,1185,0,0,3,5,may,677,1,-1,0,3,0
0,32,admin.,1,0,217,1,0,3,5,may,345,1,-1,0,3,0
0,38,technician,1,0,1685,1,0,3,5,may,185,1,-1,0,3,0
0,55,admin.,1,0,802,1,1,3,5,may,100,2,-1,0,3,0
0,28,unemployed,2,0,0,1,0,3,5,may,125,2,-1,0,3,0
1,23,blue-collar,1,0,94,1,0,3,5,may,193,1,-1,0,3,0
0,32,technician,1,0,0,1,0,3,5,may,136,1,-1,0,3,0
0,43,services,3,0,0,0,0,3,5,may,73,1,-1,0,3,0
1,32,blue-collar,1,0,517,1,0,3,5,may,528,1,-1,0,3,0
1,46,blue-collar,1,0,265,1,0,3,5,may,541,1,-1,0,3,0
2,53,housemaid,0,0,947,1,0,3,5,may,163,1,-1,0,3,0
0,34,self-employed,1,0,3,1,0,3,5,may,301,1,-1,0,3,0
1,57,unemployed,2,0,42,0,0,3,5,may,46,1,-1,0,3,0
1,37,blue-collar,1,0,37,1,0,3,5,may,204,1,-1,0,3,0
1,59,blue-collar,1,0,57,1,0,3,5,may,98,1,-1,0,3,0
1,33,services,1,0,22,1,0,3,5,may,71,1,-1,0,3,0
2,56,blue-collar,0,0,8,1,0,3,5,may,157,2,-1,0,3,0
1,48,unemployed,1,0,293,1,0,3,5,may,243,1,-1,0,3,0
1,43,services,0,0,3,1,0,3,5,may,186,2,-1,0,3,0
1,54,blue-collar,0,0,348,1,0,3,5,may,579,2,-1,0,3,0
1,51,blue-collar,3,0,-19,1,0,3,5,may,163,2,-1,0,3,0
0,26,student,1,0,0,1,0,3,5,may,610,2,-1,0,3,0
1,40,management,2,0,-4,1,0,3,5,may,2033,1,-1,0,3,0
1,39,management,1,0,18,1,0,3,5,may,85,1,-1,0,3,0
1,50,technician,0,0,139,0,0,3,5,may,114,2,-1,0,3,0
1,41,services,1,0,0,1,0,3,5,may,114,2,-1,0,3,0
1,51,blue-collar,3,0,1883,1,0,3,5,may,57,1,-1,0,3,0
2,60,retired,1,0,216,1,0,3,5,may,238,1,-1,0,3,0
1,52,blue-collar,1,0,782,1,0,3,5,may,93,3,-1,0,3,0
1,48,blue-collar,1,0,904,1,0,3,5,may,128,2,-1,0,3,0
1,48,services,3,0,1705,1,0,3,5,may,107,1,-1,0,3,0
0,39,technician,2,0,47,1,0,3,5,may,181,1,-1,0,3,0
0,47,services,1,0,176,1,0,3,5,may,303,2,-1,0,3,0
1,40,blue-collar,1,0,1225,1,0,3,5,may,558,5,-1,0,3,0
1,45,technician,1,0,86,1,0,3,5,may,270,1,-1,0,3,0
0,26,admin.,1,0,82,1,0,3,5,may,228,1,-1,0,3,0
1,52,management,2,0,271,1,0,3,5,may,99,1,-1,0,3,0
1,54,technician,1,0,1378,1,0,3,5,may,240,1,-1,0,3,0
1,54,admin.,2,0,184,0,0,3,5,may,673,2,-1,0,3,1
1,50,blue-collar,0,0,0,0,0,3,5,may,233,3,-1,0,3,0
1,35,blue-collar,1,0,0,1,0,3,5,may,1056,1,-1,0,3,0
1,44,services,1,0,1357,1,1,3,5,may,250,1,-1,0,3,0
1,53,entrepreneur,3,0,19,1,0,3,5,may,252,1,-1,0,3,0
0,35,retired,0,0,434,0,0,3,5,may,138,1,-1,0,3,0
2,60,admin.,1,0,92,1,0,3,5,may,130,1,-1,0,3,0
2,53,admin.,1,0,1151,1,0,3,5,may,412,1,-1,0,3,0
1,48,unemployed,1,0,41,1,0,3,5,may,179,2,-1,0,3,0
1,34,technician,1,0,51,1,0,3,5,may,19,2,-1,0,3,0
1,54,services,1,0,214,1,0,3,5,may,458,2,-1,0,3,0
1,51,management,1,0,1161,1,0,3,5,may,717,1,-1,0,3,0
1,31,services,2,0,37,1,0,3,5,may,313,1,-1,0,3,0
2,35,technician,1,0,787,1,0,3,5,may,683,2,-1,0,3,0
1,35,services,1,0,59,1,0,3,5,may,1077,1,-1,0,3,0
1,38,technician,1,0,253,1,0,3,5,may,416,1,-1,0,3,0
1,36,admin.,2,0,211,1,0,3,5,may,146,2,-1,0,3,0
1,58,retired,0,0,235,1,0,3,5,may,167,1,-1,0,3,0
2,40,services,3,0,4384,1,0,3,5,may,315,1,-1,0,3,0
1,54,management,1,0,4080,0,0,3,5,may,140,1,-1,0,3,0
0,34,blue-collar,1,0,53,1,1,3,5,may,346,1,-1,0,3,0
0,31,management,2,0,0,1,0,3,5,may,562,1,-1,0,3,0
1,51,retired,1,0,2127,1,0,3,5,may,172,1,-1,0,3,0
1,33,management,2,0,377,1,0,3,5,may,217,1,-1,0,3,0
1,55,management,2,0,73,1,0,3,5,may,142,2,-1,0,3,0
1,42,admin.,1,0,445,1,0,3,5,may,67,1,-1,0,3,0
1,34,blue-collar,1,0,243,1,0,3,5,may,291,1,-1,0,3,0
0,33,blue-collar,1,0,307,1,0,3,5,may,309,2,-1,0,3,0
1,38,services,1,0,155,1,0,3,5,may,248,1,-1,0,3,0
2,50,technician,2,0,173,0,1,3,5,may,98,1,-1,0,3,0
1,43,management,2,0,400,1,0,3,5,may,256,1,-1,0,3,0
2,61,blue-collar,0,0,1428,1,0,3,5,may,82,2,-1,0,3,0
1,47,admin.,1,0,219,1,0,3,5,may,577,1,-1,0,3,0
1,48,self-employed,2,0,7,1,0,3,5,may,286,1,-1,0,3,0
1,44,blue-collar,1,0,575,1,0,3,5,may,477,1,-1,0,3,0
0,35,student,3,0,298,1,0,3,5,may,611,2,-1,0,3,0
1,35,services,1,0,0,1,0,3,5,may,471,1,-1,0,3,0
1,50,services,1,0,5699,1,0,3,5,may,381,2,-1,0,3,0
1,41,management,2,0,176,1,1,3,5,may,42,1,-1,0,3,0
1,41,management,2,0,517,1,0,3,5,may,251,1,-1,0,3,0
0,39,services,3,0,257,1,0,3,5,may,408,1,-1,0,3,0
1,42,retired,1,0,56,1,0,3,5,may,215,1,-1,0,3,0
1,38,blue-collar,1,0,-390,1,0,3,5,may,287,1,-1,0,3,0
1,53,retired,1,0,330,1,0,3,5,may,216,2,-1,0,3,0
2,59,housemaid,0,0,195,0,0,3,5,may,366,2,-1,0,3,0
1,36,services,1,0,301,1,0,3,5,may,210,1,-1,0,3,0
1,54,blue-collar,0,0,-41,1,0,3,5,may,288,1,-1,0,3,0
1,40,technician,2,0,483,1,0,3,5,may,168,1,-1,0,3,0
1,47,3,3,0,28,0,0,3,5,may,338,2,-1,0,3,0
1,53,unemployed,3,0,13,0,0,3,5,may,410,3,-1,0,3,0
1,46,housemaid,0,0,965,0,0,3,5,may,177,1,-1,0,3,0
1,39,management,2,0,378,1,1,3,5,may,127,2,-1,0,3,0
1,40,unemployed,1,0,219,1,0,3,5,may,357,1,-1,0,3,0
1,28,blue-collar,0,0,324,1,0,3,5,may,175,1,-1,0,3,0
2,35,entrepreneur,1,0,-69,1,0,3,5,may,300,1,-1,0,3,0
1,55,retired,1,0,0,0,1,3,5,may,136,1,-1,0,3,0
2,43,technician,3,0,205,1,0,3,5,may,1419,1,-1,0,3,0
1,48,blue-collar,0,0,278,1,0,3,5,may,125,2,-1,0,3,0
1,58,management,3,0,1065,1,0,3,5,may,213,3,-1,0,3,0
0,33,management,2,0,34,1,0,3,5,may,27,1,-1,0,3,0
1,36,blue-collar,3,0,1033,0,0,3,5,may,238,2,-1,0,3,0
2,53,services,1,0,1467,1,0,3,5,may,124,1,-1,0,3,0
1,47,blue-collar,0,0,-12,1,0,3,5,may,18,1,-1,0,3,0
1,31,services,1,0,388,1,0,3,5,may,730,2,-1,0,3,0
1,57,entrepreneur,1,0,294,1,0,3,5,may,746,2,-1,0,3,0
1,53,blue-collar,3,0,1827,0,0,3,5,may,121,1,-1,0,3,0
1,55,blue-collar,0,0,627,1,0,3,5,may,247,1,-1,0,3,0
1,45,blue-collar,0,0,25,1,0,3,5,may,40,1,-1,0,3,0
2,53,admin.,1,0,315,1,0,3,5,may,181,2,-1,0,3,0
1,37,blue-collar,0,0,0,1,0,3,5,may,79,1,-1,0,3,0
2,44,admin.,1,0,66,1,0,3,5,may,206,1,-1,0,3,0
2,49,blue-collar,0,0,-9,1,1,3,5,may,389,1,-1,0,3,0
1,46,technician,1,0,349,1,1,3,5,may,127,1,-1,0,3,0
1,43,entrepreneur,3,0,100,1,0,3,5,may,702,1,-1,0,3,0
1,38,admin.,1,0,0,0,0,3,5,may,151,1,-1,0,3,0
1,43,technician,1,0,434,1,0,3,5,may,117,1,-1,0,3,0
1,49,management,2,0,3237,1,0,3,5,may,232,3,-1,0,3,0
1,42,management,3,0,275,0,0,3,5,may,408,2,-1,0,3,0
0,22,blue-collar,1,0,0,1,0,3,5,may,179,2,-1,0,3,0
1,40,management,2,0,207,1,0,3,5,may,39,1,-1,0,3,0
1,39,blue-collar,1,0,483,1,0,3,5,may,282,1,-1,0,3,0
1,51,services,1,0,2248,1,0,3,5,may,714,2,-1,0,3,0
1,49,admin.,1,0,428,1,0,3,5,may,50,1,-1,0,3,0
1,53,blue-collar,1,0,0,1,1,3,5,may,181,1,-1,0,3,0
0,34,services,1,0,0,1,0,3,5,may,142,1,-1,0,3,0
2,33,technician,1,0,140,1,0,3,5,may,227,1,-1,0,3,0
0,50,management,2,0,297,1,0,3,5,may,119,1,-1,0,3,0
1,39,blue-collar,0,0,279,1,0,3,5,may,361,1,-1,0,3,0
2,59,entrepreneur,1,0,901,1,0,3,5,may,73,3,-1,0,3,0
0,30,technician,1,0,2573,1,0,3,5,may,67,2,-1,0,3,0
1,36,services,1,0,143,1,1,3,5,may,350,1,-1,0,3,0
1,40,blue-collar,1,0,475,1,0,3,5,may,332,2,-1,0,3,0
1,53,blue-collar,1,0,70,1,0,3,5,may,611,2,-1,0,3,0
0,34,management,2,0,318,1,0,3,5,may,113,2,-1,0,3,0
1,37,technician,1,0,275,1,0,3,5,may,132,1,-1,0,3,0
2,42,management,2,0,742,1,0,3,5,may,58,3,-1,0,3,0
1,41,entrepreneur,0,0,236,1,0,3,5,may,151,1,-1,0,3,0
0,30,student,2,0,25,1,0,3,5,may,89,2,-1,0,3,0
0,37,management,2,0,600,1,0,3,5,may,152,1,-1,0,3,0
2,39,admin.,1,0,-349,1,0,3,5,may,611,2,-1,0,3,0
1,41,blue-collar,0,0,183,1,1,3,5,may,110,2,-1,0,3,0
1,40,blue-collar,0,0,0,1,0,3,5,may,463,1,-1,0,3,0
0,42,management,2,0,0,1,1,3,5,may,562,2,-1,0,3,1
2,40,blue-collar,0,0,0,1,0,3,5,may,962,1,-1,0,3,0
1,57,technician,1,0,1078,1,0,3,5,may,10,4,-1,0,3,0
2,56,entrepreneur,1,0,155,0,0,3,5,may,118,3,-1,0,3,0
1,37,admin.,1,0,190,1,0,3,5,may,92,2,-1,0,3,0
1,59,retired,1,0,319,1,0,3,5,may,143,3,-1,0,3,0
2,39,services,1,0,-185,1,0,3,5,may,189,3,-1,0,3,0
1,49,services,1,0,47,0,0,3,5,may,234,2,-1,0,3,0
0,38,services,1,0,570,1,0,3,5,may,75,2,-1,0,3,0
1,36,self-employed,2,0,19,0,0,3,5,may,189,2,-1,0,3,0
1,50,blue-collar,0,0,61,1,0,3,5,may,621,3,-1,0,3,0
1,41,admin.,1,0,-62,1,1,3,5,may,55,2,-1,0,3,0
1,54,technician,2,0,258,0,0,3,5,may,310,4,-1,0,3,0
1,58,blue-collar,0,0,76,1,0,3,5,may,156,2,-1,0,3,0
0,30,blue-collar,1,0,0,1,0,3,5,may,5,2,-1,0,3,0
0,33,admin.,1,0,352,1,0,3,5,may,225,2,-1,0,3,0
1,47,admin.,1,0,368,1,0,3,5,may,125,2,-1,0,3,0
0,50,technician,2,0,339,1,0,3,5,may,2,3,-1,0,3,0
1,32,blue-collar,1,0,1331,1,0,3,5,may,286,2,-1,0,3,0
1,40,self-employed,1,0,672,1,0,3,5,may,164,2,-1,0,3,0
1,37,management,2,0,58,1,0,3,5,may,98,2,-1,0,3,0
0,54,technician,3,0,447,1,0,3,5,may,742,2,-1,0,3,0
0,24,student,1,0,423,1,0,3,5,may,226,3,-1,0,3,0
1,54,management,2,0,0,0,0,3,5,may,120,2,-1,0,3,0
1,34,technician,1,0,19,1,0,3,5,may,362,4,-1,0,3,0
2,56,technician,0,0,13,1,0,3,5,may,357,2,-1,0,3,0
0,31,blue-collar,1,0,3,1,0,3,5,may,200,2,-1,0,3,0
0,24,student,1,0,82,1,0,3,5,may,204,2,-1,0,3,0
2,42,blue-collar,0,0,28,1,0,3,5,may,126,3,-1,0,3,0
1,57,technician,1,0,792,1,0,3,5,may,65,2,-1,0,3,0
1,42,blue-collar,3,0,408,1,0,3,5,may,107,2,-1,0,3,0
1,51,admin.,1,0,531,1,0,3,5,may,267,2,-1,0,3,0
1,57,retired,1,0,211,1,0,3,5,may,248,2,-1,0,3,0
0,36,services,1,0,62,1,0,3,5,may,215,2,-1,0,3,0
1,53,services,3,0,257,1,0,3,5,may,209,2,-1,0,3,0
1,50,technician,1,0,1234,1,0,3,5,may,205,2,-1,0,3,0
1,54,management,2,0,313,1,0,3,5,may,83,2,-1,0,3,0
1,55,blue-collar,1,0,89,1,0,3,5,may,106,3,-1,0,3,0
1,44,blue-collar,1,0,129,1,1,3,5,may,189,2,-1,0,3,0
1,43,management,3,0,0,1,0,3,5,may,105,2,-1,0,3,0
1,56,admin.,1,0,353,1,0,3,5,may,106,2,-1,0,3,0
1,54,technician,3,0,851,1,0,3,5,may,108,2,-1,0,3,0
2,55,services,0,0,96,1,1,3,5,may,311,2,-1,0,3,0
2,37,services,1,0,398,1,1,3,5,may,214,2,-1,0,3,0
0,33,admin.,2,0,193,0,0,3,5,may,132,2,-1,0,3,0
1,46,admin.,1,0,-358,1,0,3,5,may,358,2,-1,0,3,0
1,36,blue-collar,1,0,539,1,1,3,5,may,453,2,-1,0,3,0
0,51,technician,1,0,0,1,0,3,5,may,364,2,-1,0,3,0
0,40,retired,0,0,0,0,0,3,5,may,136,2,-1,0,3,0
1,42,blue-collar,1,0,490,1,0,3,5,may,386,2,-1,0,3,0
1,51,blue-collar,1,0,0,1,0,3,5,may,173,2,-1,0,3,0
1,49,blue-collar,3,0,403,1,0,3,5,may,241,2,-1,0,3,0
1,48,management,1,0,161,1,0,3,5,may,224,3,-1,0,3,0
2,32,technician,2,0,2558,0,0,3,5,may,148,2,-1,0,3,0
0,31,admin.,1,0,98,1,0,3,5,may,196,2,-1,0,3,0
0,55,management,2,0,115,0,0,3,5,may,111,4,-1,0,3,0
0,40,blue-collar,1,0,436,1,0,3,5,may,231,3,-1,0,3,0
1,47,technician,2,0,831,1,0,3,5,may,316,3,-1,0,3,0
1,57,technician,3,0,206,1,0,3,5,may,216,3,-1,0,3,0
1,41,blue-collar,1,0,290,1,0,3,5,may,240,2,-1,0,3,0
1,48,blue-collar,1,0,1,0,0,3,5,may,669,3,-1,0,3,0
1,42,blue-collar,3,0,57,1,0,3,5,may,425,2,-1,0,3,0
0,30,blue-collar,1,0,-457,1,0,3,5,may,143,2,-1,0,3,0
0,58,management,2,0,1387,1,0,3,5,may,174,5,-1,0,3,0
2,45,management,2,0,24598,1,0,3,5,may,313,3,-1,0,3,0
1,49,blue-collar,1,0,30,1,0,3,5,may,135,4,-1,0,3,0
0,42,admin.,1,0,1022,1,0,3,5,may,146,2,-1,0,3,0
1,53,technician,1,0,56,1,1,3,5,may,152,2,-1,0,3,0
0,51,admin.,1,1,-2,0,0,3,5,may,402,3,-1,0,3,0
0,32,services,1,0,121,1,0,3,5,may,213,2,-1,0,3,0
0,41,blue-collar,1,0,842,1,0,3,5,may,144,3,-1,0,3,0
2,43,management,1,0,693,1,0,3,5,may,124,3,-1,0,3,0
2,40,blue-collar,1,0,-333,1,0,3,5,may,183,2,-1,0,3,0
1,50,blue-collar,0,0,1533,1,0,3,5,may,325,2,-1,0,3,0
1,34,management,2,0,46,1,0,3,5,may,39,4,-1,0,3,0
1,53,services,3,0,18,0,0,3,5,may,503,2,-1,0,3,0
1,45,technician,1,0,44,1,0,3,5,may,95,4,-1,0,3,0
1,39,blue-collar,0,0,-100,1,0,3,5,may,680,2,-1,0,3,0
1,44,services,2,0,510,1,0,3,5,may,421,4,-1,0,3,0
1,55,management,2,0,685,1,0,3,5,may,174,3,-1,0,3,0
0,46,management,2,0,187,1,0,3,5,may,113,2,-1,0,3,0
1,45,blue-collar,1,0,66,1,0,3,5,may,808,2,-1,0,3,0
1,34,admin.,1,0,560,1,0,3,5,may,198,3,-1,0,3,0
1,36,blue-collar,1,0,0,1,0,3,5,may,195,2,-1,0,3,0
2,59,3,3,0,27,0,0,3,5,may,347,3,-1,0,3,0
0,31,admin.,1,0,12,1,0,3,5,may,208,2,-1,0,3,0
0,44,blue-collar,1,0,34,1,0,3,5,may,404,4,-1,0,3,0
0,33,entrepreneur,2,0,1068,1,0,3,5,may,396,2,-1,0,3,0
1,40,blue-collar,1,0,211,1,0,3,5,may,216,4,-1,0,3,0
0,46,admin.,2,0,377,1,0,3,5,may,98,2,-1,0,3,0
1,48,management,2,0,263,1,0,3,5,may,350,2,-1,0,3,0
1,42,services,1,0,1263,1,0,3,6,may,114,2,-1,0,3,0
1,27,services,1,0,8,1,0,3,6,may,88,3,-1,0,3,0
1,48,admin.,1,0,126,1,1,3,6,may,379,2,-1,0,3,0
1,59,admin.,1,0,230,1,0,3,6,may,190,3,-1,0,3,0
1,46,technician,2,0,841,1,0,3,6,may,158,1,-1,0,3,0
2,38,admin.,1,0,308,1,0,3,6,may,102,1,-1,0,3,0
2,43,management,2,0,1,1,0,3,6,may,306,1,-1,0,3,0
2,38,admin.,2,0,86,1,0,3,6,may,218,1,-1,0,3,0
0,23,student,1,0,157,1,0,3,6,may,54,1,-1,0,3,0
1,34,services,1,0,22,1,0,3,6,may,344,1,-1,0,3,0
1,38,admin.,1,0,46,1,1,3,6,may,195,1,-1,0,3,0
1,37,blue-collar,1,0,1293,0,0,3,6,may,652,1,-1,0,3,0
0,25,admin.,1,0,122,1,0,3,6,may,286,1,-1,0,3,0
1,48,blue-collar,3,0,131,1,0,3,6,may,189,1,-1,0,3,0
